Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance,On-Road Price
Maruti,Maruti Suzuki Alto K10,STD,Petrol  Base Model,Sahibabad,"3,99,000","33,120","19,534",N/A
Maruti,Maruti Suzuki Alto K10,LXI,Petrol,Sahibabad,"4,83,500","40,780","21,813",N/A
Maruti,Maruti Suzuki Alto K10,Dream Edition,Petrol,Sahibabad,"4,99,000","39,920","24,894",N/A
Maruti,Maruti Suzuki Alto K10,VXI,Petrol,Sahibabad,"4,99,500","43,210","22,422",N/A
Maruti,Maruti Suzuki Alto K10,VXI Plus,Petrol,Sahibabad,"5,35,000","44,900","23,202",N/A
Maruti,Maruti Suzuki Alto K10,VXI AT,Petrol,Sahibabad,"5,51,000","46,180","23,470",N/A
Maruti,Maruti Suzuki Alto K10,LXI S-CNG,CNG  Base Model,Sahibabad,"5,73,500","47,980","24,243",N/A
Maruti,Maruti Suzuki Alto K10,VXI Plus AT,Petrol  Top Model,Sahibabad,"5,80,000","48,500","24,555",N/A
Maruti,Maruti Suzuki Alto K10,VXI S-CNG,CNG  Top Model,Sahibabad,"5,96,000","49,780","24,850",N/A
Maruti,Maruti Suzuki Alto K10,STD,Petrol  Base Model,Noida,"3,99,000","33,120","19,534",N/A
Maruti,Maruti Suzuki Alto K10,LXI,Petrol,Noida,"4,83,500","40,780","21,813",N/A
Maruti,Maruti Suzuki Alto K10,Dream Edition,Petrol,Noida,"4,99,000","39,920","24,894",N/A
Maruti,Maruti Suzuki Alto K10,VXI,Petrol,Noida,"4,99,500","43,210","22,422",N/A
Maruti,Maruti Suzuki Alto K10,VXI Plus,Petrol,Noida,"5,35,000","44,900","23,202",N/A
Maruti,Maruti Suzuki Alto K10,VXI AT,Petrol,Noida,"5,51,000","46,180","23,470",N/A
Maruti,Maruti Suzuki Alto K10,LXI S-CNG,CNG  Base Model,Noida,"5,73,500","47,980","24,243",N/A
Maruti,Maruti Suzuki Alto K10,VXI Plus AT,Petrol  Top Model,Noida,"5,80,000","48,500","24,555",N/A
Maruti,Maruti Suzuki Alto K10,VXI S-CNG,CNG  Top Model,Noida,"5,96,000","49,780","24,850",N/A
Maruti,Maruti Suzuki Alto K10,STD,Petrol  Base Model,Ghaziabad,"3,99,000","33,120","19,534",N/A
