Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance,On-Road Price
Maruti,Maruti Suzuki Baleno,Sigma,Petrol  Base Model,Noida,"6,66,000","55,380","40,318",N/A
Maruti,Maruti Suzuki Baleno,Sigma Regal Edition,Petrol,Noida,"7,26,199","50,833","39,481",N/A
Maruti,Maruti Suzuki Baleno,Delta,Petrol,Noida,"7,50,000","62,100","43,523",N/A
Maruti,Maruti Suzuki Baleno,Delta Regal Edition,Petrol,Noida,"7,99,990","55,999","42,196",N/A
Maruti,Maruti Suzuki Baleno,Delta AMT,Petrol,Noida,"7,95,000","63,600","41,193",N/A
Maruti,Maruti Suzuki Baleno,Delta CNG,CNG  Base Model,Noida,"8,40,000","69,300","48,362",N/A
Maruti,Maruti Suzuki Baleno,Zeta,Petrol,Noida,"8,43,000","69,540","46,970",N/A
Maruti,Maruti Suzuki Baleno,Zeta Regal Edition,Petrol,Noida,"8,93,428","62,539","45,635",N/A
Maruti,Maruti Suzuki Baleno,Zeta AMT,Petrol,Noida,"8,88,000","71,040","44,519",N/A
Maruti,Maruti Suzuki Baleno,Zeta CNG,CNG  Top Model,Noida,"9,33,000","76,740","50,503",N/A
Maruti,Maruti Suzuki Baleno,Alpha,Petrol,Noida,"9,38,000","77,140","50,694",N/A
Maruti,Maruti Suzuki Baleno,Alpha Regal Edition,Petrol  Top Model,Noida,"9,83,829","68,868","48,962",N/A
Maruti,Maruti Suzuki Baleno,Alpha AMT,Petrol,Noida,"9,83,000","78,640","47,918",N/A
Maruti,Maruti Suzuki Baleno,Sigma,Petrol  Base Model,Ghaziabad,"6,66,000","55,380","40,318",N/A
Maruti,Maruti Suzuki Baleno,Sigma Regal Edition,Petrol,Ghaziabad,"7,26,199","50,833","39,481",N/A
Maruti,Maruti Suzuki Baleno,Delta,Petrol,Ghaziabad,"7,50,000","62,100","43,523",N/A
Maruti,Maruti Suzuki Baleno,Delta Regal Edition,Petrol,Ghaziabad,"7,99,990","55,999","42,196",N/A
Maruti,Maruti Suzuki Baleno,Delta AMT,Petrol,Ghaziabad,"7,95,000","63,600","41,193",N/A
Maruti,Maruti Suzuki Baleno,Delta CNG,CNG  Base Model,Ghaziabad,"8,40,000","69,300","48,362",N/A
Maruti,Maruti Suzuki Baleno,Zeta,Petrol,Ghaziabad,"8,43,000","69,540","46,970",N/A
Maruti,Maruti Suzuki Baleno,Zeta Regal Edition,Petrol,Ghaziabad,"8,93,428","62,539","45,635",N/A
Maruti,Maruti Suzuki Baleno,Zeta AMT,Petrol,Ghaziabad,"8,88,000","71,040","44,519",N/A
Maruti,Maruti Suzuki Baleno,Zeta CNG,CNG  Top Model,Ghaziabad,"9,33,000","76,740","50,503",N/A
Maruti,Maruti Suzuki Baleno,Alpha,Petrol,Ghaziabad,"9,38,000","77,140","50,694",N/A
Maruti,Maruti Suzuki Baleno,Alpha Regal Edition,Petrol  Top Model,Ghaziabad,"9,83,829","68,868","48,962",N/A
Maruti,Maruti Suzuki Baleno,Alpha AMT,Petrol,Ghaziabad,"9,83,000","78,640","47,918",N/A
Maruti,Maruti Suzuki Baleno,Sigma,Petrol  Base Model,Gurgaon,"6,66,000","55,135","38,684",N/A
Maruti,Maruti Suzuki Baleno,Sigma Regal Edition,Petrol,Gurgaon,"7,26,199","50,833","39,481",N/A
Maruti,Maruti Suzuki Baleno,Delta,Petrol,Gurgaon,"7,50,000","61,855","41,889",N/A
Maruti,Maruti Suzuki Baleno,Delta Regal Edition,Petrol,Gurgaon,"7,99,990","55,999","42,196",N/A
Maruti,Maruti Suzuki Baleno,Delta AMT,Petrol,Gurgaon,"7,95,000","65,455","43,986",N/A
Maruti,Maruti Suzuki Baleno,Delta CNG,CNG  Base Model,Gurgaon,"8,40,000","55,615","46,723",N/A
Maruti,Maruti Suzuki Baleno,Zeta,Petrol,Gurgaon,"8,43,000","69,295","45,436",N/A
Maruti,Maruti Suzuki Baleno,Zeta Regal Edition,Petrol,Gurgaon,"8,93,428","62,539","45,635",N/A
Maruti,Maruti Suzuki Baleno,Zeta AMT,Petrol,Gurgaon,"8,88,000","72,895","47,534",N/A
Maruti,Maruti Suzuki Baleno,Zeta CNG,CNG  Top Model,Gurgaon,"9,33,000","61,567","48,775",N/A
Maruti,Maruti Suzuki Baleno,Alpha,Petrol,Gurgaon,"9,38,000","76,895","49,060",N/A
Maruti,Maruti Suzuki Baleno,Alpha Regal Edition,Petrol  Top Model,Gurgaon,"9,83,829","68,868","48,962",N/A
Maruti,Maruti Suzuki Baleno,Alpha AMT,Petrol,Gurgaon,"9,83,000","80,495","51,158",N/A
Maruti,Maruti Suzuki Baleno,Sigma,Petrol  Base Model,Faridabad,"6,66,000","55,135","38,684",N/A
Maruti,Maruti Suzuki Baleno,Sigma Regal Edition,Petrol,Faridabad,"7,26,199","50,833","39,481",N/A
Maruti,Maruti Suzuki Baleno,Delta,Petrol,Faridabad,"7,50,000","61,855","41,889",N/A
Maruti,Maruti Suzuki Baleno,Delta Regal Edition,Petrol,Faridabad,"7,99,990","55,999","42,196",N/A
Maruti,Maruti Suzuki Baleno,Delta AMT,Petrol,Faridabad,"7,95,000","65,455","43,986",N/A
