Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance,On-Road Price
Maruti,Maruti Suzuki Celerio,Dream Edition,Petrol  Base Model,Sahibabad,"4,99,000","39,920","24,894",N/A
Maruti,Maruti Suzuki Celerio,LXI,Petrol,Sahibabad,"5,36,500","45,020","20,434",N/A
Maruti,Maruti Suzuki Celerio,VXI,Petrol,Sahibabad,"5,83,500","48,780","21,456",N/A
Maruti,Maruti Suzuki Celerio,ZXI,Petrol,Sahibabad,"6,11,500","51,020","22,065",N/A
Maruti,Maruti Suzuki Celerio,VXI AMT,Petrol,Sahibabad,"6,28,500","52,380","22,544",N/A
Maruti,Maruti Suzuki Celerio,ZXI AMT,Petrol,Sahibabad,"6,56,500","54,620","23,152",N/A
Maruti,Maruti Suzuki Celerio,ZXI Plus,Petrol,Sahibabad,"6,59,500","54,860","23,110",N/A
Maruti,Maruti Suzuki Celerio,VXI CNG,CNG,Sahibabad,"6,73,500","55,980","23,415",N/A
Maruti,Maruti Suzuki Celerio,ZXI Plus AMT,Petrol  Top Model,Sahibabad,"7,04,500","58,460","24,198",N/A
Maruti,Maruti Suzuki Celerio,Dream Edition,Petrol  Base Model,Noida,"4,99,000","39,920","24,894",N/A
Maruti,Maruti Suzuki Celerio,LXI,Petrol,Noida,"5,36,500","45,020","20,434",N/A
Maruti,Maruti Suzuki Celerio,VXI,Petrol,Noida,"5,83,500","48,780","21,456",N/A
Maruti,Maruti Suzuki Celerio,ZXI,Petrol,Noida,"6,11,500","51,020","22,065",N/A
Maruti,Maruti Suzuki Celerio,VXI AMT,Petrol,Noida,"6,28,500","52,380","22,544",N/A
Maruti,Maruti Suzuki Celerio,ZXI AMT,Petrol,Noida,"6,56,500","54,620","23,152",N/A
Maruti,Maruti Suzuki Celerio,ZXI Plus,Petrol,Noida,"6,59,500","54,860","23,110",N/A
Maruti,Maruti Suzuki Celerio,VXI CNG,CNG,Noida,"6,73,500","55,980","23,415",N/A
Maruti,Maruti Suzuki Celerio,ZXI Plus AMT,Petrol  Top Model,Noida,"7,04,500","58,460","24,198",N/A
Maruti,Maruti Suzuki Celerio,Dream Edition,Petrol  Base Model,Ghaziabad,"4,99,000","39,920","24,894",N/A
Maruti,Maruti Suzuki Celerio,LXI,Petrol,Ghaziabad,"5,36,500","45,020","20,434",N/A
Maruti,Maruti Suzuki Celerio,VXI,Petrol,Ghaziabad,"5,83,500","48,780","21,456",N/A
Maruti,Maruti Suzuki Celerio,ZXI,Petrol,Ghaziabad,"6,11,500","51,020","22,065",N/A
Maruti,Maruti Suzuki Celerio,VXI AMT,Petrol,Ghaziabad,"6,28,500","52,380","22,544",N/A
Maruti,Maruti Suzuki Celerio,ZXI AMT,Petrol,Ghaziabad,"6,56,500","54,620","23,152",N/A
Maruti,Maruti Suzuki Celerio,ZXI Plus,Petrol,Ghaziabad,"6,59,500","54,860","23,110",N/A
Maruti,Maruti Suzuki Celerio,VXI CNG,CNG,Ghaziabad,"6,73,500","55,980","23,415",N/A
Maruti,Maruti Suzuki Celerio,ZXI Plus AMT,Petrol  Top Model,Ghaziabad,"7,04,500","58,460","24,198",N/A
Maruti,Maruti Suzuki Celerio,LXI,Petrol,Gurgaon,"5,36,500","26,825","26,171",N/A
Maruti,Maruti Suzuki Celerio,Dream Edition,Petrol  Base Model,Gurgaon,"5,36,500","28,510","48,152",N/A
Maruti,Maruti Suzuki Celerio,VXI,Petrol,Gurgaon,"5,83,500","30,860","51,309",N/A
Maruti,Maruti Suzuki Celerio,ZXI,Petrol,Gurgaon,"6,11,500","50,605","53,191",N/A
Maruti,Maruti Suzuki Celerio,VXI AMT,Petrol,Gurgaon,"6,28,500","52,365","54,333",N/A
Maruti,Maruti Suzuki Celerio,ZXI AMT,Petrol,Gurgaon,"6,56,500","54,605","56,212",N/A
Maruti,Maruti Suzuki Celerio,ZXI Plus,Petrol,Gurgaon,"6,59,500","54,445","56,415",N/A
Maruti,Maruti Suzuki Celerio,VXI CNG,CNG,Gurgaon,"6,73,500","55,565","55,814",N/A
Maruti,Maruti Suzuki Celerio,ZXI Plus AMT,Petrol  Top Model,Gurgaon,"7,04,500","58,445","59,436",N/A
Maruti,Maruti Suzuki Celerio,LXI,Petrol,Faridabad,"5,36,848","26,842","26,183",N/A
Maruti,Maruti Suzuki Celerio,Dream Edition,Petrol  Base Model,Faridabad,"5,36,500","28,510","48,152",N/A
Maruti,Maruti Suzuki Celerio,VXI,Petrol,Faridabad,"5,83,500","30,860","51,309",N/A
Maruti,Maruti Suzuki Celerio,ZXI,Petrol,Faridabad,"6,11,500","50,605","53,191",N/A
Maruti,Maruti Suzuki Celerio,VXI AMT,Petrol,Faridabad,"6,28,500","52,365","54,333",N/A
Maruti,Maruti Suzuki Celerio,ZXI AMT,Petrol,Faridabad,"6,56,500","54,605","56,212",N/A
Maruti,Maruti Suzuki Celerio,ZXI Plus,Petrol,Faridabad,"6,59,500","54,445","56,415",N/A
Maruti,Maruti Suzuki Celerio,VXI CNG,CNG,Faridabad,"6,73,500","55,565","55,814",N/A
Maruti,Maruti Suzuki Celerio,ZXI Plus AMT,Petrol  Top Model,Faridabad,"7,04,500","58,445","59,436",N/A
Maruti,Maruti Suzuki Celerio,Dream Edition,Petrol  Base Model,Bahadurgarh,"4,99,000","24,950","24,894",N/A
Maruti,Maruti Suzuki Celerio,LXI,Petrol,Bahadurgarh,"5,36,274","26,813","26,164",N/A
Maruti,Maruti Suzuki Celerio,VXI,Petrol,Bahadurgarh,"5,83,274","29,163","27,765",N/A
Maruti,Maruti Suzuki Celerio,ZXI,Petrol,Bahadurgarh,"6,11,274","48,901","28,719",N/A
Maruti,Maruti Suzuki Celerio,VXI AMT,Petrol,Bahadurgarh,"6,28,274","50,261","29,298",N/A
Maruti,Maruti Suzuki Celerio,ZXI AMT,Petrol,Bahadurgarh,"6,56,275","52,502","30,252",N/A
Maruti,Maruti Suzuki Celerio,ZXI Plus,Petrol,Bahadurgarh,"6,59,274","52,741","30,354",N/A
Maruti,Maruti Suzuki Celerio,VXI CNG,CNG,Bahadurgarh,"6,73,274","53,861","30,831",N/A
Maruti,Maruti Suzuki Celerio,ZXI Plus AMT,Petrol  Top Model,Bahadurgarh,"7,04,274","56,341","31,887",N/A
Maruti,Maruti Suzuki Celerio,Dream Edition,Petrol  Base Model,Kundli,"4,99,000","24,950","24,894",N/A
Maruti,Maruti Suzuki Celerio,LXI,Petrol,Kundli,"5,36,274","26,813","26,164",N/A
Maruti,Maruti Suzuki Celerio,VXI,Petrol,Kundli,"5,83,274","29,163","27,765",N/A
Maruti,Maruti Suzuki Celerio,ZXI,Petrol,Kundli,"6,11,274","48,901","28,719",N/A
Maruti,Maruti Suzuki Celerio,VXI AMT,Petrol,Kundli,"6,28,274","50,261","29,298",N/A
Maruti,Maruti Suzuki Celerio,ZXI AMT,Petrol,Kundli,"6,56,275","52,502","30,252",N/A
Maruti,Maruti Suzuki Celerio,ZXI Plus,Petrol,Kundli,"6,59,274","52,741","30,354",N/A
Maruti,Maruti Suzuki Celerio,VXI CNG,CNG,Kundli,"6,73,274","53,861","30,831",N/A
Maruti,Maruti Suzuki Celerio,ZXI Plus AMT,Petrol  Top Model,Kundli,"7,04,274","56,341","31,887",N/A
Maruti,Maruti Suzuki Celerio,Dream Edition,Petrol  Base Model,Ballabhgarh,"4,99,000","24,950","24,894",N/A
Maruti,Maruti Suzuki Celerio,LXI,Petrol,Ballabhgarh,"5,36,848","26,842","26,183",N/A
Maruti,Maruti Suzuki Celerio,VXI,Petrol,Ballabhgarh,"5,83,869","29,193","27,785",N/A
Maruti,Maruti Suzuki Celerio,ZXI,Petrol,Ballabhgarh,"6,11,869","48,949","28,739",N/A
Maruti,Maruti Suzuki Celerio,VXI AMT,Petrol,Ballabhgarh,"6,28,869","50,309","29,318",N/A
Maruti,Maruti Suzuki Celerio,ZXI AMT,Petrol,Ballabhgarh,"6,56,869","52,549","30,272",N/A
Maruti,Maruti Suzuki Celerio,ZXI Plus,Petrol,Ballabhgarh,"6,59,869","52,789","30,374",N/A
Maruti,Maruti Suzuki Celerio,VXI CNG,CNG,Ballabhgarh,"6,73,869","53,909","30,851",N/A
Maruti,Maruti Suzuki Celerio,ZXI Plus AMT,Petrol  Top Model,Ballabhgarh,"7,04,869","56,389","31,907",N/A
