Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance,On-Road Price
Maruti,Maruti Suzuki Ertiga,Lxi,Petrol  Base Model,Noida,"8,69,000","71,620","28,451",N/A
Maruti,Maruti Suzuki Ertiga,VXi,Petrol,Noida,"9,83,000","80,740","30,373",N/A
Maruti,Maruti Suzuki Ertiga,VXi,CNG  Base Model,Noida,"10,78,000","1,09,900","31,976",N/A
Maruti,Maruti Suzuki Ertiga,Zxi,Petrol,Noida,"10,93,000","1,11,400","32,227",N/A
Maruti,Maruti Suzuki Ertiga,VXI AT,Petrol,Noida,"11,23,000","1,14,400","32,733",N/A
Maruti,Maruti Suzuki Ertiga,ZXI Plus,Petrol,Noida,"11,63,000","1,18,400","33,407",N/A
Maruti,Maruti Suzuki Ertiga,ZXI,CNG  Top Model,Noida,"11,88,000","1,20,900","33,829",N/A
Maruti,Maruti Suzuki Ertiga,ZXI AT,Petrol,Noida,"12,33,000","1,25,400","34,587",N/A
Maruti,Maruti Suzuki Ertiga,ZXI Plus AT,Petrol  Top Model,Noida,"13,03,000","1,32,400","35,768",N/A
Maruti,Maruti Suzuki Ertiga,Lxi,Petrol  Base Model,Ghaziabad,"8,69,000","71,620","28,451",N/A
Maruti,Maruti Suzuki Ertiga,VXi,Petrol,Ghaziabad,"9,83,000","80,740","30,373",N/A
Maruti,Maruti Suzuki Ertiga,VXi,CNG  Base Model,Ghaziabad,"10,78,000","1,09,900","31,976",N/A
Maruti,Maruti Suzuki Ertiga,Zxi,Petrol,Ghaziabad,"10,93,000","1,11,400","32,227",N/A
Maruti,Maruti Suzuki Ertiga,VXI AT,Petrol,Ghaziabad,"11,23,000","1,14,400","32,733",N/A
Maruti,Maruti Suzuki Ertiga,ZXI Plus,Petrol,Ghaziabad,"11,63,000","1,18,400","33,407",N/A
Maruti,Maruti Suzuki Ertiga,ZXI,CNG  Top Model,Ghaziabad,"11,88,000","1,20,900","33,829",N/A
Maruti,Maruti Suzuki Ertiga,ZXI AT,Petrol,Ghaziabad,"12,33,000","1,25,400","34,587",N/A
Maruti,Maruti Suzuki Ertiga,ZXI Plus AT,Petrol  Top Model,Ghaziabad,"13,03,000","1,32,400","35,768",N/A
Maruti,Maruti Suzuki Ertiga,Lxi,Petrol  Base Model,Gurgaon,"8,69,000","71,205","24,189",N/A
Maruti,Maruti Suzuki Ertiga,VXi,Petrol,Gurgaon,"9,83,000","80,325","25,552",N/A
Maruti,Maruti Suzuki Ertiga,VXi,CNG  Base Model,Gurgaon,"10,78,000","87,925","26,687",N/A
Maruti,Maruti Suzuki Ertiga,Zxi,Petrol,Gurgaon,"10,93,000","89,125","26,869",N/A
Maruti,Maruti Suzuki Ertiga,VXI AT,Petrol,Gurgaon,"11,23,000","91,525","27,226",N/A
Maruti,Maruti Suzuki Ertiga,ZXI Plus,Petrol,Gurgaon,"11,63,000","94,725","27,705",N/A
Maruti,Maruti Suzuki Ertiga,ZXI,CNG  Top Model,Gurgaon,"11,88,000","96,725","28,005",N/A
Maruti,Maruti Suzuki Ertiga,ZXI AT,Petrol,Gurgaon,"12,33,000","1,00,325","28,543",N/A
Maruti,Maruti Suzuki Ertiga,ZXI Plus AT,Petrol  Top Model,Gurgaon,"13,03,000","1,05,925","29,380",N/A
Maruti,Maruti Suzuki Ertiga,Lxi,Petrol  Base Model,Faridabad,"8,69,000","71,205","24,189",N/A
Maruti,Maruti Suzuki Ertiga,VXi,Petrol,Faridabad,"9,83,000","80,325","25,552",N/A
Maruti,Maruti Suzuki Ertiga,VXi,CNG  Base Model,Faridabad,"10,78,000","87,925","26,687",N/A
