Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance,On-Road Price
Maruti,Maruti Suzuki FRONX,Sigma,Petrol  Base Model,Noida,"7,51,500","62,220","33,729",N/A
Maruti,Maruti Suzuki FRONX,Delta,Petrol,Noida,"8,37,500","69,100","35,933",N/A
Maruti,Maruti Suzuki FRONX,Sigma CNG,CNG  Base Model,Noida,"8,46,500","69,820","40,875",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus,Petrol,Noida,"8,77,500","72,300","36,957",N/A
Maruti,Maruti Suzuki FRONX,Delta AMT,Petrol,Noida,"8,82,500","70,600","44,323",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt,Petrol,Noida,"8,93,000","71,440","44,698",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus AMT,Petrol,Noida,"9,22,500","73,800","45,754",N/A
Maruti,Maruti Suzuki FRONX,Delta CNG,CNG  Top Model,Noida,"9,32,500","76,700","43,386",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt AMT,Petrol,Noida,"9,38,000","75,040","46,308",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Turbo,Petrol,Noida,"9,72,500","79,900","33,414",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo,Petrol,Noida,"10,55,500","1,07,650","35,749",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo,Petrol,Noida,"11,47,500","1,16,850","37,765",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT,Petrol,Noida,"11,63,500","1,18,450","38,162",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo AT,Petrol,Noida,"11,95,500","1,21,650","38,912",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo AT,Petrol,Noida,"12,87,500","1,30,850","41,495",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT AT,Petrol  Top Model,Noida,"13,03,500","1,32,450","41,892",N/A
Maruti,Maruti Suzuki FRONX,Sigma,Petrol  Base Model,Ghaziabad,"7,51,500","62,220","33,729",N/A
Maruti,Maruti Suzuki FRONX,Delta,Petrol,Ghaziabad,"8,37,500","69,100","35,933",N/A
Maruti,Maruti Suzuki FRONX,Sigma CNG,CNG  Base Model,Ghaziabad,"8,46,500","69,820","40,875",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus,Petrol,Ghaziabad,"8,77,500","72,300","36,957",N/A
Maruti,Maruti Suzuki FRONX,Delta AMT,Petrol,Ghaziabad,"8,82,500","70,600","44,323",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt,Petrol,Ghaziabad,"8,93,000","71,440","44,698",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus AMT,Petrol,Ghaziabad,"9,22,500","73,800","45,754",N/A
Maruti,Maruti Suzuki FRONX,Delta CNG,CNG  Top Model,Ghaziabad,"9,32,500","76,700","43,386",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt AMT,Petrol,Ghaziabad,"9,38,000","75,040","46,308",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Turbo,Petrol,Ghaziabad,"9,72,500","79,900","33,414",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo,Petrol,Ghaziabad,"10,55,500","1,07,650","35,749",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo,Petrol,Ghaziabad,"11,47,500","1,16,850","37,765",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT,Petrol,Ghaziabad,"11,63,500","1,18,450","38,162",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo AT,Petrol,Ghaziabad,"11,95,500","1,21,650","38,912",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo AT,Petrol,Ghaziabad,"12,87,500","1,30,850","41,495",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT AT,Petrol  Top Model,Ghaziabad,"13,03,500","1,32,450","41,892",N/A
Maruti,Maruti Suzuki FRONX,Sigma,Petrol  Base Model,Gurgaon,"7,51,500","61,975","48,404",N/A
Maruti,Maruti Suzuki FRONX,Sigma CNG,CNG  Base Model,Gurgaon,"8,46,500","56,031","53,410",N/A
Maruti,Maruti Suzuki FRONX,Delta,Petrol,Gurgaon,"8,37,500","68,855","52,199",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus,Petrol,Gurgaon,"8,77,500","72,055","54,785",N/A
Maruti,Maruti Suzuki FRONX,Delta AMT,Petrol,Gurgaon,"8,82,500","72,455","54,891",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt,Petrol,Gurgaon,"8,93,000","73,295","55,785",N/A
Maruti,Maruti Suzuki FRONX,Delta CNG,CNG  Top Model,Gurgaon,"9,32,500","61,535","56,604",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus AMT,Petrol,Gurgaon,"9,22,500","75,655","56,604",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt AMT,Petrol,Gurgaon,"9,38,000","76,895","57,604",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Turbo,Petrol,Gurgaon,"9,72,500","71,875","52,125",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo,Petrol,Gurgaon,"10,55,500","77,851","55,744",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo,Petrol,Gurgaon,"11,47,500","84,475","58,840",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT,Petrol,Gurgaon,"11,63,500","85,627","59,451",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo AT,Petrol,Gurgaon,"11,95,500","87,931","62,281",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo AT,Petrol,Gurgaon,"12,87,500","94,555","66,293",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT AT,Petrol  Top Model,Gurgaon,"13,03,500","95,707","66,891",N/A
Maruti,Maruti Suzuki FRONX,Sigma,Petrol  Base Model,Faridabad,"7,51,500","61,975","48,404",N/A
Maruti,Maruti Suzuki FRONX,Sigma CNG,CNG  Base Model,Faridabad,"8,46,500","56,031","53,410",N/A
Maruti,Maruti Suzuki FRONX,Delta,Petrol,Faridabad,"8,37,500","68,855","52,199",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus,Petrol,Faridabad,"8,77,500","72,055","54,785",N/A
Maruti,Maruti Suzuki FRONX,Delta AMT,Petrol,Faridabad,"8,82,500","72,455","54,891",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt,Petrol,Faridabad,"8,93,000","73,295","55,785",N/A
Maruti,Maruti Suzuki FRONX,Delta CNG,CNG  Top Model,Faridabad,"9,32,500","61,535","56,604",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus AMT,Petrol,Faridabad,"9,22,500","75,655","56,604",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt AMT,Petrol,Faridabad,"9,38,000","76,895","57,604",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Turbo,Petrol,Faridabad,"9,72,500","71,875","52,125",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo,Petrol,Faridabad,"10,55,500","77,851","55,744",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo,Petrol,Faridabad,"11,47,500","84,475","58,840",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT,Petrol,Faridabad,"11,63,500","85,627","59,451",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo AT,Petrol,Faridabad,"11,95,500","87,931","62,281",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo AT,Petrol,Faridabad,"12,87,500","94,555","66,293",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT AT,Petrol  Top Model,Faridabad,"13,03,500","95,707","66,891",N/A
Maruti,Maruti Suzuki FRONX,Sigma,Petrol  Base Model,Bahadurgarh,"7,51,500","60,120","39,637",N/A
Maruti,Maruti Suzuki FRONX,Delta,Petrol,Bahadurgarh,"8,37,500","67,000","42,713",N/A
Maruti,Maruti Suzuki FRONX,Sigma CNG,CNG  Base Model,Bahadurgarh,"8,46,500","67,720","43,035",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus,Petrol,Bahadurgarh,"8,77,500","70,200","44,144",N/A
