Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance,On-Road Price
Maruti,Maruti Suzuki Grand Vitara,Sigma,Petrol  Base Model,Noida,"10,99,000","1,09,900","52,067",N/A
Maruti,Maruti Suzuki Grand Vitara,Delta,Petrol,Noida,"12,20,000","1,24,100","47,929",N/A
Maruti,Maruti Suzuki Grand Vitara,Delta CNG,CNG  Base Model,Noida,"13,15,000","1,33,600","51,343",N/A
Maruti,Maruti Suzuki Grand Vitara,Delta AT,Petrol,Noida,"13,60,000","1,38,100","51,541",N/A
Maruti,Maruti Suzuki Grand Vitara,Zeta,Petrol,Noida,"14,01,000","1,42,200","53,383",N/A
Maruti,Maruti Suzuki Grand Vitara,Zeta CNG,CNG  Top Model,Noida,"14,96,000","1,51,700","56,947",N/A
Maruti,Maruti Suzuki Grand Vitara,Zeta AT,Petrol,Noida,"15,41,000","1,56,200","56,995",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha,Petrol,Noida,"15,51,000","1,57,200","57,495",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha DT,Petrol,Noida,"15,67,000","1,58,800","57,934",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha AT,Petrol,Noida,"16,91,000","1,71,200","61,109",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha AWD,Petrol,Noida,"17,01,000","1,72,200","61,609",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha AT DT,Petrol,Noida,"17,07,000","1,72,800","61,547",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha AWD DT,Petrol,Noida,"17,17,000","1,73,800","61,947",N/A
Maruti,Maruti Suzuki Grand Vitara,Zeta Plus Hybrid CVT,Petrol,Noida,"18,43,000","1,86,400","64,623",N/A
Maruti,Maruti Suzuki Grand Vitara,Zeta Plus Hybrid CVT DT,Petrol,Noida,"18,59,000","1,88,000","64,960",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha Plus Hybrid CVT,Petrol,Noida,"19,93,000","2,01,400","68,734",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha Plus Hybrid CVT DT,Petrol  Top Model,Noida,"20,09,000","2,03,000","68,974",N/A
Maruti,Maruti Suzuki Grand Vitara,Sigma,Petrol  Base Model,Ghaziabad,"10,99,000","1,09,900","52,067",N/A
Maruti,Maruti Suzuki Grand Vitara,Delta,Petrol,Ghaziabad,"12,20,000","1,24,100","47,929",N/A
Maruti,Maruti Suzuki Grand Vitara,Delta CNG,CNG  Base Model,Ghaziabad,"13,15,000","1,33,600","51,343",N/A
Maruti,Maruti Suzuki Grand Vitara,Delta AT,Petrol,Ghaziabad,"13,60,000","1,38,100","51,541",N/A
Maruti,Maruti Suzuki Grand Vitara,Zeta,Petrol,Ghaziabad,"14,01,000","1,42,200","53,383",N/A
Maruti,Maruti Suzuki Grand Vitara,Zeta CNG,CNG  Top Model,Ghaziabad,"14,96,000","1,51,700","56,947",N/A
Maruti,Maruti Suzuki Grand Vitara,Zeta AT,Petrol,Ghaziabad,"15,41,000","1,56,200","56,995",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha,Petrol,Ghaziabad,"15,51,000","1,57,200","57,495",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha DT,Petrol,Ghaziabad,"15,67,000","1,58,800","57,934",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha AT,Petrol,Ghaziabad,"16,91,000","1,71,200","61,109",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha AWD,Petrol,Ghaziabad,"17,01,000","1,72,200","61,609",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha AT DT,Petrol,Ghaziabad,"17,07,000","1,72,800","61,547",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha AWD DT,Petrol,Ghaziabad,"17,17,000","1,73,800","61,947",N/A
Maruti,Maruti Suzuki Grand Vitara,Zeta Plus Hybrid CVT,Petrol,Ghaziabad,"18,43,000","1,86,400","64,623",N/A
Maruti,Maruti Suzuki Grand Vitara,Zeta Plus Hybrid CVT DT,Petrol,Ghaziabad,"18,59,000","1,88,000","64,960",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha Plus Hybrid CVT,Petrol,Ghaziabad,"19,93,000","2,01,400","68,734",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha Plus Hybrid CVT DT,Petrol  Top Model,Ghaziabad,"20,09,000","2,03,000","68,974",N/A
Maruti,Maruti Suzuki Grand Vitara,Sigma,Petrol  Base Model,Gurgaon,"10,99,000","87,920","52,067",N/A
Maruti,Maruti Suzuki Grand Vitara,Delta,Petrol,Gurgaon,"12,20,000","97,600","56,395",N/A
Maruti,Maruti Suzuki Grand Vitara,Delta CNG,CNG  Base Model,Gurgaon,"13,15,000","1,05,200","59,794",N/A
Maruti,Maruti Suzuki Grand Vitara,Delta AT,Petrol,Gurgaon,"13,60,000","1,08,800","61,403",N/A
Maruti,Maruti Suzuki Grand Vitara,Zeta,Petrol,Gurgaon,"14,01,000","1,12,080","62,870",N/A
Maruti,Maruti Suzuki Grand Vitara,Zeta CNG,CNG  Top Model,Gurgaon,"14,96,000","1,19,680","66,268",N/A
Maruti,Maruti Suzuki Grand Vitara,Zeta AT,Petrol,Gurgaon,"15,41,000","1,23,280","67,878",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha,Petrol,Gurgaon,"15,51,000","1,24,080","68,236",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha DT,Petrol,Gurgaon,"15,67,000","1,25,360","68,808",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha AT,Petrol,Gurgaon,"16,91,000","1,35,280","73,244",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha AWD,Petrol,Gurgaon,"17,01,000","1,36,080","73,601",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha AT DT,Petrol,Gurgaon,"17,07,000","1,36,560","73,816",N/A
Maruti,Maruti Suzuki Grand Vitara,Alpha AWD DT,Petrol,Gurgaon,"17,17,000","1,37,360","74,174",N/A
