Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance,On-Road Price
Maruti,Maruti Suzuki Jimny,Zeta,Petrol  Base Model,Noida,"12,74,000","1,29,500","50,154",N/A
Maruti,Maruti Suzuki Jimny,Alpha,Petrol,Noida,"13,69,000","1,39,000","51,792",N/A
Maruti,Maruti Suzuki Jimny,Alpha Dual Tone,Petrol,Noida,"13,85,000","1,39,300","43,463",N/A
Maruti,Maruti Suzuki Jimny,Zeta AT,Petrol,Noida,"13,84,000","1,40,500","55,590",N/A
Maruti,Maruti Suzuki Jimny,Alpha AT,Petrol,Noida,"14,79,000","1,50,000","58,367",N/A
Maruti,Maruti Suzuki Jimny,Alpha Dual Tone AT,Petrol  Top Model,Noida,"14,95,000","1,50,300","45,913",N/A
Maruti,Maruti Suzuki Jimny,Zeta,Petrol  Base Model,Ghaziabad,"12,74,000","1,29,500","50,154",N/A
Maruti,Maruti Suzuki Jimny,Alpha,Petrol,Ghaziabad,"13,69,000","1,39,000","51,792",N/A
Maruti,Maruti Suzuki Jimny,Alpha Dual Tone,Petrol,Ghaziabad,"13,85,000","1,39,300","43,463",N/A
Maruti,Maruti Suzuki Jimny,Zeta AT,Petrol,Ghaziabad,"13,84,000","1,40,500","55,590",N/A
Maruti,Maruti Suzuki Jimny,Alpha AT,Petrol,Ghaziabad,"14,79,000","1,50,000","58,367",N/A
Maruti,Maruti Suzuki Jimny,Alpha Dual Tone AT,Petrol  Top Model,Ghaziabad,"14,95,000","1,50,300","45,913",N/A
Maruti,Maruti Suzuki Jimny,Zeta,Petrol  Base Model,Gurgaon,"12,74,000","1,03,775","41,195",N/A
Maruti,Maruti Suzuki Jimny,Alpha,Petrol,Gurgaon,"13,69,000","1,11,375","43,136",N/A
Maruti,Maruti Suzuki Jimny,Zeta AT,Petrol,Gurgaon,"13,84,000","1,12,575","43,643",N/A
Maruti,Maruti Suzuki Jimny,Alpha Dual Tone,Petrol,Gurgaon,"13,85,000","1,39,300","43,463",N/A
Maruti,Maruti Suzuki Jimny,Alpha AT,Petrol,Gurgaon,"14,79,000","1,20,175","45,586",N/A
Maruti,Maruti Suzuki Jimny,Alpha Dual Tone AT,Petrol  Top Model,Gurgaon,"14,95,000","1,50,300","45,913",N/A
Maruti,Maruti Suzuki Jimny,Zeta,Petrol  Base Model,Faridabad,"12,74,000","1,03,775","41,195",N/A
Maruti,Maruti Suzuki Jimny,Alpha,Petrol,Faridabad,"13,69,000","1,11,375","43,136",N/A
Maruti,Maruti Suzuki Jimny,Zeta AT,Petrol,Faridabad,"13,84,000","1,12,575","43,643",N/A
Maruti,Maruti Suzuki Jimny,Alpha Dual Tone,Petrol,Faridabad,"13,85,000","1,39,300","43,463",N/A
Maruti,Maruti Suzuki Jimny,Alpha AT,Petrol,Faridabad,"14,79,000","1,20,175","45,586",N/A
Maruti,Maruti Suzuki Jimny,Alpha Dual Tone AT,Petrol  Top Model,Faridabad,"14,95,000","1,50,300","45,913",N/A
Maruti,Maruti Suzuki Jimny,Zeta,Petrol  Base Model,Bahadurgarh,"12,73,601","1,01,888","58,313",N/A
Maruti,Maruti Suzuki Jimny,Alpha,Petrol,Bahadurgarh,"13,68,601","1,09,488","61,711",N/A
Maruti,Maruti Suzuki Jimny,Zeta AT,Petrol,Bahadurgarh,"13,83,601","1,10,688","62,248",N/A
Maruti,Maruti Suzuki Jimny,Alpha Dual Tone,Petrol,Bahadurgarh,"13,85,000","1,39,300","43,463",N/A
Maruti,Maruti Suzuki Jimny,Alpha AT,Petrol,Bahadurgarh,"14,78,601","1,18,288","65,646",N/A
Maruti,Maruti Suzuki Jimny,Alpha Dual Tone AT,Petrol  Top Model,Bahadurgarh,"14,95,000","1,50,300","45,913",N/A
Maruti,Maruti Suzuki Jimny,Zeta,Petrol  Base Model,Greater Noida,"12,74,000","1,27,400","58,327",N/A
Maruti,Maruti Suzuki Jimny,Alpha,Petrol,Greater Noida,"13,69,000","1,36,900","61,725",N/A
Maruti,Maruti Suzuki Jimny,Alpha Dual Tone,Petrol,Greater Noida,"13,85,000","1,39,300","43,463",N/A
Maruti,Maruti Suzuki Jimny,Zeta AT,Petrol,Greater Noida,"13,84,000","1,38,400","62,262",N/A
Maruti,Maruti Suzuki Jimny,Alpha AT,Petrol,Greater Noida,"14,79,000","1,47,900","65,660",N/A
Maruti,Maruti Suzuki Jimny,Alpha Dual Tone AT,Petrol  Top Model,Greater Noida,"14,95,000","1,50,300","45,913",N/A
Maruti,Maruti Suzuki Jimny,Zeta,Petrol  Base Model,Sonipat,"12,73,601","1,01,888","58,313",N/A
Maruti,Maruti Suzuki Jimny,Alpha,Petrol,Sonipat,"13,68,601","1,09,488","61,711",N/A
Maruti,Maruti Suzuki Jimny,Zeta AT,Petrol,Sonipat,"13,83,601","1,10,688","62,248",N/A
Maruti,Maruti Suzuki Jimny,Alpha Dual Tone,Petrol,Sonipat,"13,85,000","1,39,300","43,463",N/A
Maruti,Maruti Suzuki Jimny,Alpha AT,Petrol,Sonipat,"14,78,601","1,18,288","65,646",N/A
Maruti,Maruti Suzuki Jimny,Alpha Dual Tone AT,Petrol  Top Model,Sonipat,"14,95,000","1,50,300","45,913",N/A
Maruti,Maruti Suzuki Jimny,Zeta,Petrol  Base Model,Manesar,"12,74,000","1,01,920","58,327",N/A
Maruti,Maruti Suzuki Jimny,Alpha,Petrol,Manesar,"13,69,000","1,09,520","61,725",N/A
