Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance,On-Road Price
Maruti,Maruti Suzuki Wagon R,LXI Waltz Edition,Petrol,Noida,"5,64,671","22,586","27,688",N/A
Maruti,Maruti Suzuki Wagon R,LXI,Petrol  Base Model,Noida,"5,54,500","46,460","21,003",N/A
Maruti,Maruti Suzuki Wagon R,VXI,Petrol,Noida,"5,99,500","50,060","21,982",N/A
Maruti,Maruti Suzuki Wagon R,ZXI,Petrol,Noida,"6,28,000","52,340","28,908",N/A
Maruti,Maruti Suzuki Wagon R,LXI CNG,CNG  Base Model,Noida,"6,44,500","53,660","22,959",N/A
Maruti,Maruti Suzuki Wagon R,VXI AT,Petrol,Noida,"6,44,500","53,660","23,180",N/A
Maruti,Maruti Suzuki Wagon R,ZXI AT,Petrol,Noida,"6,73,000","55,940","29,074",N/A
Maruti,Maruti Suzuki Wagon R,ZXI Plus,Petrol,Noida,"6,75,500","56,140","29,176",N/A
Maruti,Maruti Suzuki Wagon R,VXI CNG,CNG  Top Model,Noida,"6,89,500","57,260","23,939",N/A
Maruti,Maruti Suzuki Wagon R,ZXI Plus Dual Tone,Petrol,Noida,"6,87,500","57,100","29,176",N/A
Maruti,Maruti Suzuki Wagon R,ZXI Plus AT,Petrol,Noida,"7,20,500","59,740","30,137",N/A
Maruti,Maruti Suzuki Wagon R,ZXI Plus AT Dual tone,Petrol  Top Model,Noida,"7,32,500","60,700","30,137",N/A
Maruti,Maruti Suzuki Wagon R,LXI Waltz Edition,Petrol,Ghaziabad,"5,64,671","22,586","27,688",N/A
Maruti,Maruti Suzuki Wagon R,LXI,Petrol  Base Model,Ghaziabad,"5,54,500","46,460","21,003",N/A
Maruti,Maruti Suzuki Wagon R,VXI,Petrol,Ghaziabad,"5,99,500","50,060","21,982",N/A
Maruti,Maruti Suzuki Wagon R,ZXI,Petrol,Ghaziabad,"6,28,000","52,340","28,908",N/A
Maruti,Maruti Suzuki Wagon R,LXI CNG,CNG  Base Model,Ghaziabad,"6,44,500","53,660","22,959",N/A
Maruti,Maruti Suzuki Wagon R,VXI AT,Petrol,Ghaziabad,"6,44,500","53,660","23,180",N/A
Maruti,Maruti Suzuki Wagon R,ZXI AT,Petrol,Ghaziabad,"6,73,000","55,940","29,074",N/A
Maruti,Maruti Suzuki Wagon R,ZXI Plus,Petrol,Ghaziabad,"6,75,500","56,140","29,176",N/A
Maruti,Maruti Suzuki Wagon R,VXI CNG,CNG  Top Model,Ghaziabad,"6,89,500","57,260","23,939",N/A
Maruti,Maruti Suzuki Wagon R,ZXI Plus Dual Tone,Petrol,Ghaziabad,"6,87,500","55,000","37,347",N/A
Maruti,Maruti Suzuki Wagon R,ZXI Plus AT,Petrol,Ghaziabad,"7,20,500","59,740","30,137",N/A
Maruti,Maruti Suzuki Wagon R,ZXI Plus AT Dual tone,Petrol  Top Model,Ghaziabad,"7,32,500","60,700","30,137",N/A
Maruti,Maruti Suzuki Wagon R,LXI Waltz Edition,Petrol,Gurgaon,"5,64,671","22,586","27,688",N/A
Maruti,Maruti Suzuki Wagon R,LXI,Petrol  Base Model,Gurgaon,"5,54,500","29,410","48,392",N/A
Maruti,Maruti Suzuki Wagon R,VXI,Petrol,Gurgaon,"5,99,500","31,660","51,336",N/A
Maruti,Maruti Suzuki Wagon R,ZXI,Petrol,Gurgaon,"6,28,000","51,925","58,061",N/A
Maruti,Maruti Suzuki Wagon R,VXI AT,Petrol,Gurgaon,"6,44,500","53,645","54,280",N/A
Maruti,Maruti Suzuki Wagon R,LXI CNG,CNG  Base Model,Gurgaon,"6,44,500","53,245","57,861",N/A
Maruti,Maruti Suzuki Wagon R,ZXI AT,Petrol,Gurgaon,"6,73,000","55,925","61,005",N/A
Maruti,Maruti Suzuki Wagon R,ZXI Plus,Petrol,Gurgaon,"6,75,500","55,725","61,168",N/A
Maruti,Maruti Suzuki Wagon R,ZXI Plus Dual Tone,Petrol,Gurgaon,"6,87,500","56,685","61,953",N/A
Maruti,Maruti Suzuki Wagon R,VXI CNG,CNG  Top Model,Gurgaon,"6,89,500","56,845","61,080",N/A
Maruti,Maruti Suzuki Wagon R,ZXI Plus AT,Petrol,Gurgaon,"7,20,500","59,725","64,112",N/A
Maruti,Maruti Suzuki Wagon R,ZXI Plus AT Dual tone,Petrol  Top Model,Gurgaon,"7,32,500","60,685","64,896",N/A
Maruti,Maruti Suzuki Wagon R,LXI Waltz Edition,Petrol,Faridabad,"5,64,671","22,586","27,688",N/A
Maruti,Maruti Suzuki Wagon R,LXI,Petrol  Base Model,Faridabad,"5,54,500","29,410","48,392",N/A
Maruti,Maruti Suzuki Wagon R,VXI,Petrol,Faridabad,"5,99,500","31,660","51,336",N/A
Maruti,Maruti Suzuki Wagon R,ZXI,Petrol,Faridabad,"6,28,000","51,925","58,061",N/A
Maruti,Maruti Suzuki Wagon R,VXI AT,Petrol,Faridabad,"6,44,500","53,645","54,280",N/A
Maruti,Maruti Suzuki Wagon R,LXI CNG,CNG  Base Model,Faridabad,"6,44,500","53,245","57,861",N/A
Maruti,Maruti Suzuki Wagon R,ZXI AT,Petrol,Faridabad,"6,73,000","55,925","61,005",N/A
Maruti,Maruti Suzuki Wagon R,ZXI Plus,Petrol,Faridabad,"6,75,500","55,725","61,168",N/A
Maruti,Maruti Suzuki Wagon R,ZXI Plus Dual Tone,Petrol,Faridabad,"6,87,500","56,685","61,953",N/A
Maruti,Maruti Suzuki Wagon R,VXI CNG,CNG  Top Model,Faridabad,"6,89,500","56,845","61,080",N/A
Maruti,Maruti Suzuki Wagon R,ZXI Plus AT,Petrol,Faridabad,"7,20,500","59,725","64,112",N/A
Maruti,Maruti Suzuki Wagon R,ZXI Plus AT Dual tone,Petrol  Top Model,Faridabad,"7,32,500","60,685","64,896",N/A
Maruti,Maruti Suzuki Wagon R,LXI,Petrol  Base Model,Bahadurgarh,"5,54,274","27,713","26,777",N/A
Maruti,Maruti Suzuki Wagon R,LXI Waltz Edition,Petrol,Bahadurgarh,"5,64,671","22,586","27,688",N/A
Maruti,Maruti Suzuki Wagon R,VXI,Petrol,Bahadurgarh,"5,99,274","29,963","28,310",N/A
Maruti,Maruti Suzuki Wagon R,ZXI,Petrol,Bahadurgarh,"6,27,774","50,221","35,211",N/A
Maruti,Maruti Suzuki Wagon R,VXI AT,Petrol,Bahadurgarh,"6,44,275","51,542","29,843",N/A
Maruti,Maruti Suzuki Wagon R,LXI CNG,CNG  Base Model,Bahadurgarh,"6,44,275","51,542","29,843",N/A
Maruti,Maruti Suzuki Wagon R,ZXI AT,Petrol,Bahadurgarh,"6,72,775","53,822","36,821",N/A
Maruti,Maruti Suzuki Wagon R,ZXI Plus,Petrol,Bahadurgarh,"6,75,274","54,021","36,910",N/A
Maruti,Maruti Suzuki Wagon R,VXI CNG,CNG  Top Model,Bahadurgarh,"6,89,274","55,141","31,376",N/A
