Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance,On-Road Price
Maruti,Maruti Suzuki Dzire,LXI,Petrol  Base Model,Noida,"6,79,000","54,920","28,200",N/A
Maruti,Maruti Suzuki Dzire,VXI,Petrol,Noida,"7,79,000","62,920","30,200",N/A
Maruti,Maruti Suzuki Dzire,VXI AMT,Petrol,Noida,"8,24,000","66,520","32,700",N/A
Maruti,Maruti Suzuki Dzire,VXI CNG,CNG  Base Model,Noida,"8,74,000","70,520","32,015",N/A
Maruti,Maruti Suzuki Dzire,ZXI,Petrol,Noida,"8,89,000","71,720","32,100",N/A
Maruti,Maruti Suzuki Dzire,ZXI AMT,Petrol,Noida,"9,34,000","75,320","34,580",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus,Petrol,Noida,"9,69,000","78,120","33,500",N/A
Maruti,Maruti Suzuki Dzire,ZXI CNG,CNG  Top Model,Noida,"9,84,000","79,320","34,100",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus AMT,Petrol  Top Model,Noida,"10,14,000","1,02,000","36,587",N/A
Maruti,Maruti Suzuki Dzire,LXI,Petrol  Base Model,Ghaziabad,"6,79,000","54,920","28,200",N/A
Maruti,Maruti Suzuki Dzire,VXI,Petrol,Ghaziabad,"7,79,000","62,920","30,200",N/A
Maruti,Maruti Suzuki Dzire,VXI AMT,Petrol,Ghaziabad,"8,24,000","66,520","32,700",N/A
Maruti,Maruti Suzuki Dzire,VXI CNG,CNG  Base Model,Ghaziabad,"8,74,000","70,520","32,015",N/A
Maruti,Maruti Suzuki Dzire,ZXI,Petrol,Ghaziabad,"8,89,000","71,720","32,100",N/A
Maruti,Maruti Suzuki Dzire,ZXI AMT,Petrol,Ghaziabad,"9,34,000","75,320","34,580",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus,Petrol,Ghaziabad,"9,69,000","78,120","33,500",N/A
Maruti,Maruti Suzuki Dzire,ZXI CNG,CNG  Top Model,Ghaziabad,"9,84,000","79,320","34,100",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus AMT,Petrol  Top Model,Ghaziabad,"10,14,000","1,02,000","36,587",N/A
Maruti,Maruti Suzuki Dzire,LXI,Petrol  Base Model,Gurgaon,"6,79,000","56,005","26,452",N/A
Maruti,Maruti Suzuki Dzire,VXI,Petrol,Gurgaon,"7,79,000","64,005","29,990",N/A
Maruti,Maruti Suzuki Dzire,VXI AMT,Petrol,Gurgaon,"8,24,000","67,605","29,100",N/A
Maruti,Maruti Suzuki Dzire,ZXI CNG,CNG  Base Model,Gurgaon,"8,44,250","69,225","24,798",N/A
Maruti,Maruti Suzuki Dzire,ZXI,Petrol,Gurgaon,"8,89,000","72,805","32,500",N/A
Maruti,Maruti Suzuki Dzire,VXI CNG,CNG  Top Model,Gurgaon,"9,12,250","74,665","25,692",N/A
