Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance,On-Road Price
Maruti,Maruti Suzuki Brezza,Lxi,Petrol  Base Model,Noida,"8,34,000","68,820","30,826",N/A
Maruti,Maruti Suzuki Brezza,Lxi CNG,CNG  Base Model,Noida,"9,29,000","76,420","29,977",N/A
Maruti,Maruti Suzuki Brezza,Vxi,Petrol,Noida,"9,69,500","79,660","31,924",N/A
Maruti,Maruti Suzuki Brezza,Vxi CNG,CNG,Noida,"10,64,500","1,08,550","32,351",N/A
Maruti,Maruti Suzuki Brezza,Vxi AT,Petrol,Noida,"11,09,500","1,13,050","33,150",N/A
Maruti,Maruti Suzuki Brezza,Zxi,Petrol,Noida,"11,14,500","1,13,550","32,577",N/A
Maruti,Maruti Suzuki Brezza,Zxi DT,Petrol,Noida,"11,30,500","1,15,150","33,520",N/A
Maruti,Maruti Suzuki Brezza,Zxi CNG,CNG,Noida,"12,09,500","1,23,050","34,905",N/A
Maruti,Maruti Suzuki Brezza,Zxi CNG DT,CNG  Top Model,Noida,"12,25,500","1,24,650","35,185",N/A
Maruti,Maruti Suzuki Brezza,Zxi AT,Petrol,Noida,"12,54,500","1,27,550","35,693",N/A
Maruti,Maruti Suzuki Brezza,Zxi Plus,Petrol,Noida,"12,58,000","1,27,900","35,057",N/A
Maruti,Maruti Suzuki Brezza,Zxi AT DT,Petrol,Noida,"12,70,500","1,29,150","35,977",N/A
Maruti,Maruti Suzuki Brezza,Zxi Plus DT,Petrol,Noida,"12,74,000","1,29,500","35,330",N/A
Maruti,Maruti Suzuki Brezza,Zxi Plus AT,Petrol,Noida,"13,98,000","1,41,900","37,464",N/A
Maruti,Maruti Suzuki Brezza,Zxi Plus AT DT,Petrol  Top Model,Noida,"14,14,000","1,43,500","37,739",N/A
Maruti,Maruti Suzuki Brezza,Lxi,Petrol  Base Model,Ghaziabad,"8,34,000","68,820","30,826",N/A
Maruti,Maruti Suzuki Brezza,Lxi CNG,CNG  Base Model,Ghaziabad,"9,29,000","76,420","29,977",N/A
Maruti,Maruti Suzuki Brezza,Vxi,Petrol,Ghaziabad,"9,69,500","79,660","31,924",N/A
Maruti,Maruti Suzuki Brezza,Vxi CNG,CNG,Ghaziabad,"10,64,500","1,08,550","32,351",N/A
Maruti,Maruti Suzuki Brezza,Vxi AT,Petrol,Ghaziabad,"11,09,500","1,13,050","33,150",N/A
Maruti,Maruti Suzuki Brezza,Zxi,Petrol,Ghaziabad,"11,14,500","1,13,550","32,577",N/A
Maruti,Maruti Suzuki Brezza,Zxi DT,Petrol,Ghaziabad,"11,30,500","1,15,150","33,520",N/A
Maruti,Maruti Suzuki Brezza,Zxi CNG,CNG,Ghaziabad,"12,09,500","1,23,050","34,905",N/A
Maruti,Maruti Suzuki Brezza,Zxi CNG DT,CNG  Top Model,Ghaziabad,"12,25,500","1,24,650","35,185",N/A
