Brand,Brand Link,Brand Image,Model Name,Model Price,Model Image,Fuel Type,Mileage,Transmission,Engine,Power,Safety Rating
Maruti,https://www.cardekho.com/maruti-suzuki-cars,https://stimg.cardekho.com/pwa/img/brandLogo_168x84/maruti.jpg,Maruti Suzuki Dzire,6.79 - 10.14 Lakh,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Dzire/11387/1731318279714/front-left-side-47.jpg?impolicy=resize&imwidth=480,Petrol / CNG,24.79 to 25.71 kmpl,Manual/Automatic,1197 cc,69 - 80 bhp,5 Star Safety
Maruti,https://www.cardekho.com/maruti-suzuki-cars,https://stimg.cardekho.com/pwa/img/brandLogo_168x84/maruti.jpg,Maruti Suzuki Swift,6.49 - 9.59 Lakh,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Swift/11709/1715245478487/front-left-side-47.jpg?impolicy=resize&imwidth=480,Petrol / CNG,24.8 to 25.75 kmpl,Manual/Automatic,1197 cc,68.8 - 80.46 bhp,4 Star Safety
Maruti,https://www.cardekho.com/maruti-suzuki-cars,https://stimg.cardekho.com/pwa/img/brandLogo_168x84/maruti.jpg,Maruti Suzuki Brezza,8.34 - 14.14 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,Petrol / CNG,17.38 to 19.89 kmpl,Manual/Automatic,1462 cc,86.63 - 101.64 bhp,4 Star Safety
Maruti,https://www.cardekho.com/maruti-suzuki-cars,https://stimg.cardekho.com/pwa/img/brandLogo_168x84/maruti.jpg,Maruti Suzuki Ertiga,8.69 - 13.03 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,Petrol / CNG,20.3 to 20.51 kmpl,Manual/Automatic,1462 cc,86.63 - 101.64 bhp,3 Star Safety
Maruti,https://www.cardekho.com/maruti-suzuki-cars,https://stimg.cardekho.com/pwa/img/brandLogo_168x84/maruti.jpg,Maruti Suzuki FRONX,7.51 - 13.04 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,Petrol / CNG,20.01 to 22.89 kmpl,Manual/Automatic,998 cc - 1197 cc,76.43 - 98.69 bhp,5 Seats
Maruti,https://www.cardekho.com/maruti-suzuki-cars,https://stimg.cardekho.com/pwa/img/brandLogo_168x84/maruti.jpg,Maruti Suzuki Grand Vitara,10.99 - 20.09 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,Petrol / CNG,19.38 to 27.97 kmpl,Manual/Automatic,1462 cc - 1490 cc,87 - 101.64 bhp,5 Seats
Maruti,https://www.cardekho.com/maruti-suzuki-cars,https://stimg.cardekho.com/pwa/img/brandLogo_168x84/maruti.jpg,Maruti Suzuki Baleno,6.66 - 9.84 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,Petrol / CNG,22.35 to 22.94 kmpl,Manual/Automatic,1197 cc,76.43 - 88.5 bhp,5 Seats
Maruti,https://www.cardekho.com/maruti-suzuki-cars,https://stimg.cardekho.com/pwa/img/brandLogo_168x84/maruti.jpg,Maruti Suzuki Wagon R,5.54 - 7.33 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,Petrol / CNG,23.56 to 25.19 kmpl,Manual/Automatic,998 cc - 1197 cc,55.92 - 88.5 bhp,1 Star Safety
Maruti,https://www.cardekho.com/maruti-suzuki-cars,https://stimg.cardekho.com/pwa/img/brandLogo_168x84/maruti.jpg,Maruti Suzuki Alto K10,3.99 - 5.96 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,Petrol / CNG,24.39 to 24.9 kmpl,Manual/Automatic,998 cc,55.92 - 65.71 bhp,2 Star Safety
Maruti,https://www.cardekho.com/maruti-suzuki-cars,https://stimg.cardekho.com/pwa/img/brandLogo_168x84/maruti.jpg,Maruti Suzuki Celerio,4.99 - 7.04 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,Petrol / CNG,24.97 to 26.68 kmpl,Manual/Automatic,998 cc,55.92 - 65.71 bhp,5 Seats
